********************************************** final_ordered_table ***********************************
final_ordered_table: {task_3_3_dataset::name: chararray,task_3_3_dataset::id: int,task_3_3_dataset::lower_case_text_1: chararray,task_3_3_dataset::length_of_text_1: long,task_3_3_dataset::big_first_letter_final: chararray,task_3_3_dataset::new_text_1_length: long,task_3_3_dataset::num_of_letters_deleted: long,task_3_3_dataset::num_of_words_text_1_new: long,task_3_3_dataset::lower_case_text_5: chararray,task_3_3_dataset::length_of_text_5: long,task_3_3_dataset::big_first_letter_final_2: chararray,task_3_3_dataset::new_text_5_length: long,task_3_3_dataset::num_of_letters_deleted_text_5: long,task_3_3_dataset::num_of_words_text_5_new: long,task_3_3_dataset::num_of_str_5_1: long,task_3_3_dataset::words_bigger_then_3_letters_2: long,num_of_words_1_5: long,num_of_good_and_bad: int}
(BOTIHT  FEYZNV,3301,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(VCIPBJ  WEQQXB,3401,it's to late i'm sorry,22,It's To Late I'm Sorry,22,0,5,this situation is bad for us,28,This Situation Is Bad For Us,28,0,6,50,5,11,3)
(MKBMHI  KRVBJN,3890,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,1)
(XIMCBG  TBMLYK,4266,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(IRAQRD  VAWHWU,4387,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(DRPRIQ  DRJASC,931,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,0)
(OVNQTV  ZFERRN,894,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,1)
(PGDPOB  NCRIQN,4872,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,1)
(QOIQKC  WVECHI,112,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,9)
(GKFEHG  OTIMIJ,780,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,0)
(FPZHKU  XIOWPY,5060,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,0)
(VWCIQV  EMSQEY,5527,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(HDPYIU  PQWJTU,377,it's to late i'm sorry,22,It's To Late I'm Sorry,22,0,5,this situation is bad for us,28,This Situation Is Bad For Us,28,0,6,50,5,11,3)
(IIAJFM  KGGKGU,6294,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(KQYDBZ  FXMYUY,6965,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,5)
(TWHVQH  SZRYWL,7413,i'm soo happy for you,21,I'm Soo Happy For You,21,0,5,i will thank you for it,23,I Will Thank You For It,23,0,6,44,3,11,2)
(UXQSPP  CYGNMP,7561,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(COKSPX  KSFUXG,246,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,6)
(CLIUKY  RIWIKR,7601,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,1)
(IGILTK  PKTXDT,7950,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,1)
(YHZCIN  BTFRWK,8269,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i love it soo much,18,I Love It Soo Much,18,0,5,48,5,11,1)
(PWUSSC  FAWDFS,8702,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,10)
(WVQEJC  PNTMCH,8834,i'm soo happy for you,21,I'm Soo Happy For You,21,0,5,i will thank you for it,23,I Will Thank You For It,23,0,6,44,3,11,8)
(KDOTJW  HDIMYX,10,why not it isgood,17,Why Not It Isgood,17,0,4,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,45,3,11,2)
(WSVYOY  ZATJBV,2366,i'm soo happy for you,21,I'm Soo Happy For You,21,0,5,i will thank you for it,23,I Will Thank You For It,23,0,6,44,3,11,11)
(HHQNGS  RLXHAI,2649,it's to late i'm sorry,22,It's To Late I'm Sorry,22,0,5,this situation is bad for us,28,This Situation Is Bad For Us,28,0,6,50,5,11,3)
(OJTUDW  DDFVSL,2841,it's to late i'm sorry,22,It's To Late I'm Sorry,22,0,5,this situation is bad for us,28,This Situation Is Bad For Us,28,0,6,50,5,11,3)
(MZNTUN  LXNIIU,2920,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,i want to go home,17,I Want To Go Home,17,0,5,47,5,11,1)
(GMXFWS  ORARHR,1502,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,58,5,13,4)
(UHMTJZ  FKZTML,3027,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,58,5,13,1)
(KUBCEO  TOGUFH,4696,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,58,5,13,1)
(LWZXUJ  IQUGII,1141,ifone day i will get tothemoon,30,Ifone Day I Will Get Tomoon,27,3,6,whould you like a cup of tea,28,Whould You Like A Cup Of Tea,28,0,7,58,5,13,1)
